DATE,OPENP,HIGH,LOW,CLOSEP,VOLUME
24/06/2015,50.3,51.1,50.3,51,1708
23/06/2015,50.9,52.9,50.9,51.5,1337
22/06/2015,51.2,52.8,51.2,52.4,6081
21/06/2015,51.1,51.2,51.1,51.1,2515
18/06/2015,50.2,52,50.2,50.9,5634
17/06/2015,49.9,50.2,49.9,49.9,514
16/06/2015,50.7,51,50.6,50.8,4559
15/06/2015,49.3,50.5,49.3,50.1,3704
14/06/2015,52.9,52.9,52,52.1,3354
11/6/2015,51.4,53.6,51.4,51.8,5495
10/6/2015,52,52.1,51.4,51.5,40707
9/6/2015,51.9,53,51.6,52.1,28191
8/6/2015,51.7,53,51.7,52.5,9483
7/6/2015,52,53.8,52,52.6,13093
4/6/2015,52,53.7,51.9,52.6,1990
2/6/2015,55.5,55.8,52.3,52.7,11452
1/6/2015,54.6,55.7,52.3,53.6,23185
31/05/2015,51,57,51,53.4,19353
28/05/2015,53.5,53.8,52.2,52.7,17260
27/05/2015,55.8,55.8,53.2,54,15195
26/05/2015,55.9,55.9,53.5,54.3,32774
25/05/2015,52.6,55,52.6,54.5,18402
24/05/2015,54,54.2,52.8,54,3300
21/05/2015,54,54.6,52,53.6,37903
20/05/2015,52,53,50.6,51.2,36290
19/05/2015,52.2,54,50.8,51.1,61647
18/05/2015,55.6,55.6,51.3,52.9,15909
17/05/2015,52.1,52.6,50,50.6,26805
14/05/2015,53,55.5,52.1,52.2,31799
13/05/2015,52.6,59,52.1,55.6,25478
12/5/2015,56,56.3,55.1,55.5,5699
11/5/2015,55,59.1,55,57.7,65318
10/5/2015,48.3,54.5,48.3,53.8,6613
7/5/2015,48.3,49.9,48.3,49.6,4996
6/5/2015,48.6,51.5,48.6,49.4,1957
5/5/2015,48.4,50,48.4,48.6,5444
4/5/2015,48.1,48.5,48,48.4,32651
30/04/2015,48.5,49.1,48.5,48.8,2966
29/04/2015,48.3,49,48.3,48.9,1417
27/04/2015,49,49.1,48.3,48.9,6954
26/04/2015,48.1,50,48.1,48.2,13901
23/04/2015,48.5,53,48.5,49.2,13719
22/04/2015,50,50.6,49.1,50,16921
21/04/2015,51,51.8,49.7,50.2,4403
20/04/2015,51.5,51.7,51.5,51.7,1308
19/04/2015,52.8,53,51.2,51.3,9699
16/04/2015,51.8,53.5,51.8,52.7,2145
15/04/2015,52,54,51.1,53.3,4702
13/04/2015,53,53.5,51,51.8,3153
12/4/2015,53.3,55,52,52.8,4176
9/4/2015,54.2,55.9,54.2,55,4207
8/4/2015,54.2,56,54.1,55.1,6724
7/4/2015,52,57,52,56,6798
6/4/2015,54.5,57,54.3,56,9952
5/4/2015,57,57,55,55.4,4418
2/4/2015,57,57.2,57,57,1795
1/4/2015,58.9,59.5,57,58.3,20366
31/03/2015,57,57,57,57,7482
30/03/2015,56,56.9,55.9,56,8711
29/03/2015,57.8,58,56.2,56.9,6985
25/03/2015,56.5,57.5,56.5,57.2,3543
24/03/2015,56.3,56.5,56,56.3,974
23/03/2015,56.7,58.9,56.7,58.2,4041
22/03/2015,55,59.5,55,58.9,3552
19/03/2015,56.2,58,56.2,57.5,2117
18/03/2015,56.5,56.7,56.3,56.5,219
16/03/2015,57.5,57.5,57.1,57.2,790
15/03/2015,58,58.5,58,58,3162
12/3/2015,58,59,58,58.8,4186
11/3/2015,57,58.5,57,57.2,6118
10/3/2015,58.1,58.9,58.1,58.5,3041
9/3/2015,57.9,59.3,57.2,58.2,14142
8/3/2015,58.2,58.2,56.8,56.9,4800
5/3/2015,60.3,60.3,58.4,59.2,4561
4/3/2015,59.5,60,59.5,59.9,3937
